concentration,1,2,3
0.000204806,1.151467774,0.969350621,0.867455589
0.00047788,1.141533653,0.9470365,0.942460096
0.001115054,1.027460249,1.027546197,0.875290073
0.002601793,1.070868986,0.987469803,0.954236561
0.006070851,1.066763553,1.003302946,1.06385696
0.014165319,0.981105169,0.953966132,0.927762923
0.033052412,0.842471467,0.850853458,0.771346612
0.077122294,0.609403006,0.520769731,0.533454137
0.17995202,0.212001928,0.214572622,0.192601221
0.419888047,0.041795602,0.045220118,0.033667533
0.979738776,-0.015842602,-0.016730536,-0.020235536
2.286057143,-0.026604486,-0.027537197,-0.028691983
