concentration,1,2,3
0.000204806,1.204890528,1.21399382,1.054852321
0.00047788,1.002645091,1.010735958,0.933650448
0.001115054,1.142165534,1.117260963,1.002513732
0.002601793,0.906558257,0.836848405,0.826736555
0.006070851,0.695169713,0.824238468,0.67689295
0.014165319,0.390708708,0.450252051,0.393357715
0.033052412,0.07143443,0.065980481,0.06913803
0.077122294,-0.011881663,-0.015682196,-0.01464205
0.17995202,-0.031063951,-0.033304774,-0.037654606
0.419888047,-0.034426947,-0.032020997,-0.036745407
0.979738776,-0.036490048,-0.038171408,-0.034581478
2.286057143,-0.02907249,-0.034520921,-0.03618099
