concentration,1,2,3
0.000204806,0.964702573,0.911770496,0.984559134
0.00047788,1.220242488,1.010490248,0.999947285
0.001115054,0.993344117,1.01180027,0.972395322
0.002601793,1.025104477,1.108325065,1.059679505
0.006070851,0.782884239,0.903521586,0.795604198
0.014165319,0.645998355,0.761640616,0.707298155
0.033052412,0.257446409,0.238911269,0.255275627
0.077122294,0.050726158,0.0406089,0.037904749
0.17995202,-0.010904818,-0.017767333,-0.019318449
0.419888047,-0.020841703,-0.019736842,-0.024306951
0.979738776,-0.030833537,-0.02877073,-0.033764894
2.286057143,-0.030795512,-0.03278083,-0.030934023
