concentration,1,2,3
0.000204806,1.274750793,1.127548709,1.148787947
0.00047788,1.033222591,1.018340691,1.023801939
0.001115054,1.041171759,1.051424648,1.006247854
0.002601793,1.04863322,1.010429246,0.988780327
0.006070851,1.047210098,1.136156659,1.045133892
0.014165319,0.862240192,0.840611568,0.795116877
0.033052412,0.551025611,0.594970448,0.569011473
0.077122294,0.07689193,0.079442847,0.063934891
0.17995202,0.00227377,-0.00853661,-0.010571035
0.419888047,-0.01731511,-0.019579071,-0.02150763
0.979738776,-0.020293022,-0.024931427,-0.025734228
2.286057143,-0.020418625,-0.024476719,-0.027637762
