concentration,1,2,3
0.000204806,1.095014846,1.088711778,1.100692817
0.00047788,1.197988897,1.117083901,1.051639258
0.001115054,1.114109781,1.100778345,1.073709025
0.002601793,1.036102564,1.08225641,1.025969231
0.006070851,0.927214208,0.958120056,0.914844114
0.014165319,0.919208889,0.869191707,0.799969455
0.033052412,0.433306674,0.391006843,0.348707011
0.077122294,0.1134523,0.0988849,0.118412153
0.17995202,0.010047864,0.003909533,-0.003215317
0.419888047,-0.022421525,-0.023355755,-0.02593423
0.979738776,-0.029251985,-0.030565339,-0.029411179
2.286057143,-0.030632214,-0.035105236,-0.034426295
