concentration,1,2,3
0.000204806,1.013733759,0.910816047,0.971335765
0.00047788,0.942012318,0.893710547,1.017966214
0.001115054,0.992850147,0.941772772,0.908961802
0.002601793,0.966206379,0.936956809,0.808664578
0.006070851,0.956702807,0.899116823,0.885665733
0.014165319,0.586331093,0.702771555,0.556199763
0.033052412,0.169448897,0.184786093,0.168166687
0.077122294,0.01413204,0.018434929,0.012064965
0.17995202,-0.025386138,-0.026296035,-0.03325675
0.419888047,-0.032550312,-0.032365891,-0.043338943
0.979738776,-0.03666997,-0.035777998,-0.038949455
2.286057143,-0.028769798,-0.033282708,-0.035018442
