concentration,1,2,3
0.000204806,1.210506607,0.953191034,1.026961964
0.00047788,0.948665298,1.066925914,0.987334412
0.001115054,0.970941264,1.051700245,1.009274065
0.002601793,1.101645359,1.040188041,0.949721951
0.006070851,0.895161148,0.854869723,0.845237885
0.014165319,0.699762679,0.725639448,0.720225015
0.033052412,0.363276586,0.349936884,0.354849715
0.077122294,0.077046549,0.082197097,0.074894608
0.17995202,0.001989767,-0.00618249,-0.014354747
0.419888047,-0.018496827,-0.018566758,-0.024475952
0.979738776,-0.020113605,-0.018176739,-0.022869913
2.286057143,-0.022124219,-0.0246233,-0.026497611
