concentration,1,2,3
0.000204806,1.011395785,0.968298035,1.075328521
0.00047788,1.074491856,1.068999865,1.164463589
0.001115054,0.990065734,0.915978846,1.036870459
0.002601793,0.991787597,1.030983155,1.024870515
0.006070851,0.95401647,0.916403893,1.007962614
0.014165319,0.854565603,0.842863475,0.778191489
0.033052412,0.565048333,0.506310416,0.498837841
0.077122294,0.224687195,0.197399947,0.205297719
0.17995202,0.031881714,0.024026799,0.021023449
0.419888047,-0.016471589,-0.026094935,-0.026453013
0.979738776,-0.035012522,-0.036938933,-0.040021191
2.286057143,-0.033276562,-0.035853094,-0.036857505
