concentration,1,2,3
0.000204806,1.149894714,1.041615871,1.03247257
0.00047788,1.113168812,1.08010778,1.015568196
0.001115054,1.089596493,1.072708521,0.975463023
0.002601793,0.921960073,0.900786449,0.927848357
0.006070851,0.832709997,0.842858587,0.862104518
0.014165319,0.37998944,0.377719113,0.417634636
0.033052412,0.175682115,0.149371232,0.163210342
0.077122294,0.011946729,0.019976498,0.008029769
0.17995202,-0.02581268,-0.029841976,-0.029338314
0.419888047,-0.026215592,-0.032582236,-0.038491147
0.979738776,-0.041177455,-0.039934001,-0.048877305
2.286057143,-0.04095916,-0.047242216,-0.044935778
