concentration,1,2,3
0.000204806,0.999528968,1.05461487,0.9980415
0.00047788,0.856457053,0.943406377,0.879384195
0.001115054,1.007491299,0.934387227,0.93985332
0.002601793,1.009994614,1.007640593,0.967422746
0.006070851,0.990288281,0.982764577,0.930252198
0.014165319,0.925185037,0.950070014,0.912222444
0.033052412,0.591724322,0.621266701,0.604494254
0.077122294,0.23056481,0.24293987,0.288751388
0.17995202,0.039519159,0.053117956,0.0459429
0.419888047,-0.006812355,-0.009358025,-0.009178753
0.979738776,-0.025898024,-0.025111912,-0.026465771
2.286057143,-0.029754631,-0.02808651,-0.029405489
